project	project_id	filename	url	md5	size_mb
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0017.agc	https://osf.io/download/6a35d89d4e561bdfb616677b/	abf1079f87df11a3a2f0d9a95db615ce	107.077164
Corynebacterium_glutamicum	z7q5y	Corynebacterium_glutamicum_global_ordered_0001.agc	https://osf.io/download/6a35d3cece0af6ed471cd334/	420704622c1bd57f8ce4b9ce667468da	3.682019
Bifidobacterium_dentium	z7q5y	Bifidobacterium_dentium_global_ordered_0001.agc	https://osf.io/download/6a35ce05ce49a902191cd265/	7ee5951200724624f5343d189be06e30	5.112617
Curtobacterium_flaccumfaciens	z7q5y	Curtobacterium_flaccumfaciens_global_ordered_0001.agc	https://osf.io/download/6a35d482304299ba1916677c/	e361a34a9dc6a97d0b5cf12ed951c43f	12.517162
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0067.agc	https://osf.io/download/6a35df9d9e590a52781cd2e7/	f7de866a7d0fcdc3a7b7b585b4bff883	165.850164
Streptococcus_pyogenes	z7q5y	Streptococcus_pyogenes_global_ordered_0006.agc	https://osf.io/download/6a35f5f3b69661572cb0e7e2/	bf602f68d4f386bafe82797e2adbe025	12.827288
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0069.agc	https://osf.io/download/6a35efd2d60a0d02001cd297/	8a2305aa218b209989b4e3c9fdef5b7a	29.427078
Streptococcus_pyogenes	z7q5y	Streptococcus_pyogenes_global_ordered_0002.agc	https://osf.io/download/6a35f5d9e44a7098508e8c26/	9b361550c08d173846e2fe651f88a94e	13.285537
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0088.agc	https://osf.io/download/6a35f0676f002381202bf27e/	d0ba25ab9594c781adcdba04e507fe3e	18.529370
Bacteroides_uniformis	z7q5y	Bacteroides_uniformis_global_ordered_0001.agc	https://osf.io/download/6a35cd9ce1cf7dffd61cd30f/	1c498d6e2fdca5a34b728daccef19fd0	67.299201
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0008.agc	https://osf.io/download/6a35edc1135ae9f26d2bf29b/	043cd2e87fb560d4585cc893104325fe	36.373915
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0006.agc	https://osf.io/download/6a35d7aaeb7358231b1cd345/	e61f74ee263eeca1df06142b89b2c2fa	89.231784
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0058.agc	https://osf.io/download/6a35df0f9e590a52781cd2b9/	af7439bb4922694b881bb0eeccd56208	67.255132
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0035.agc	https://osf.io/download/6a35eeba5ffe9ea6742bf2ab/	f47e9425b9d04431ce8efe14f420c6dc	9.014492
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0052.agc	https://osf.io/download/6a35ef4b837a1067de166790/	24c9026d1659d38f0c42e9497f83c425	34.756441
Pseudomonas_E_protegens	z7q5y	Pseudomonas_E_protegens_global_ordered_0001.agc	https://osf.io/download/6a35ecee135ae9f26d2bf279/	1667ca2f4b981b630be783d7d5e8b179	13.401284
Citrobacter_A_rodentium	z7q5y	Citrobacter_A_rodentium_global_ordered_0001.agc	https://osf.io/download/6a35d2222fffbb6dfd2bf36d/	1e88854160d457d756e74875c97612ee	7.207690
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Enterococcus_A_avium	z7q5y	Enterococcus_A_avium_global_ordered_0001.agc	https://osf.io/download/6a35d5d5a1266a00301667f0/	337614278c07ba1155fcbff72466a0ba	9.682307
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0055.agc	https://osf.io/download/6a35ef6433ec3079e716677c/	ba6be443461f6b3220947028e1962831	42.533985
Enterobacter_asburiae_B	z7q5y	Enterobacter_asburiae_B_global_ordered_0001.agc	https://osf.io/download/6a35d4d7a1266a00301667df/	50e2467de301b2950cac0242dcec1cd4	37.565482
Haemophilus_influenzae_G	z7q5y	Haemophilus_influenzae_G_global_ordered_0001.agc	https://osf.io/download/6a35e1a25496e77e041cd263/	bc9d11e0212b5c7a7e47da02517d91f9	9.942790
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0126.agc	https://osf.io/download/6a35f1ba7700d1a4642bf298/	04932a6449d2c0bd3573483e3434cd24	33.136349
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0004.agc	https://osf.io/download/6a35f68958ef8b8eb5ec17dd/	722b61a3b72adaaf3638c6434ce940c7	180.948372
Mycobacterium_tuberculosis	z7q5y	Mycobacterium_tuberculosis_global_ordered_0020.agc	https://osf.io/download/6a35e94af7b19b30e71cd2a9/	04ca4a246f96668efeb18ee999e5c4b7	49.629762
Corynebacterium_striatum	z7q5y	Corynebacterium_striatum_global_ordered_0001.agc	https://osf.io/download/6a35d3edb892a6c2521cd272/	d80da3a5f120d44e861d41039e371ed2	15.260650
Klebsiella_pneumoniae	z7q5y	Klebsiella_pneumoniae_global_ordered_0011.agc	https://osf.io/download/6a35e3a5308e793ed42bf34e/	fb8a68ce5041e0779689062be3605b5d	112.879118
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Escherichia_albertii	z7q5y	Escherichia_albertii_global_ordered_0001.agc	https://osf.io/download/6a35d7287f3d8fe7612bf313/	9c2cdb8294c8c18fa947d56a49387282	38.212367
Staphylococcus_coagulans	z7q5y	Staphylococcus_coagulans_global_ordered_0001.agc	https://osf.io/download/6a35f35cdfb5efe0ae1cd2a2/	82fcafaba17acaf13bdae5ff39b25994	4.214958
Pediococcus_acidilactici	z7q5y	Pediococcus_acidilactici_global_ordered_0001.agc	https://osf.io/download/6a35eb5b53a57f985f2bf2b9/	3e7bc023fff1eaaba56de86793f82b4e	4.198594
